,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
0,RT @CDN_Patriots: NBA players are on a roll ,Deskprotestor,Deskprotestor,,1088,1500,3,17817,Fri Oct 01 03:49:44 +0000 2021,1443785173967933459,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,NBA players are on a roll ,True,CDN_Patriots,LightUpTheDarkness, The Matrix,6030.0,3214.0,9.0,15655.0,Fri Oct 01 01:17:08 +0000 2021,1.4437467717594726e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,1.0,0.0,17.0,62.0
1,"@wendycollins62 @TraceySpicer Was obvious from the get go, and the rehearsed vacc vacc vacc mantra timed to take advantage of fear even though we lacked vaccine",mazzmcp,Marion The gods love irony Mac,Australia ,711,1898,5,91211,Fri Oct 01 03:49:44 +0000 2021,1443785174538358799,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
2,"@bunrxm I was honestly wondering if it was because a certain subset of people hear ""vaccine"" and automatically reject it now. 
But I didn't know they give rabies vaccines in the arm now! Or pretty much any of those facts in the thread lol.",cgstefko,Caroline Stefko,"Helotes, TX",336,573,6,49534,Fri Oct 01 03:49:44 +0000 2021,1443785174664232961,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
3,RT @Luigi_awake: @ksorbs What about during the pandemic when there wasn't one and everyone was clapping for them. And now you spit on them,TammySalvatici,charlie,,11,112,0,1315,Fri Oct 01 03:49:44 +0000 2021,1443785175389851650,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,@ksorbs What about during the pandemic when there wasn't one and everyone was clapping for them. And now you spit on them because they choose not to have the vaccine. It's DISGRACEFUL.,True,Luigi_awake,Luigi C ,,12.0,34.0,0.0,818.0,Thu Sep 30 18:35:06 +0000 2021,1.4436455962466263e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0.0,13.0,11.0,185.0
4,"My response to anyone rejecting the vaccine while using false information &amp; invalid reasoning:

Your ignorance doesnt even deserve my intelligence. Be safe tho ",H2L_,H E A T H E R,"Dallas, TX",308,152,5,8178,Fri Oct 01 03:49:45 +0000 2021,1443785177700896768,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
5,"My story from opening day at the World Series of Poker. Some confusion, but it felt like the WSOP. Great photos from @Left_Eye_Images https://t.co/1xR8C56oMN",JimBarnesLV,Jim Barnes,,1299,490,32,925,Fri Oct 01 03:49:45 +0000 2021,1443785179462471703,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
6,@sisnaktido when do we know when to get the hpv vaccine though ;-; it was the secondary vaccine thingy we took kan ? ;-;,aatiiquhh,.,,12,31,0,243,Fri Oct 01 03:49:45 +0000 2021,1443785179869237250,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
7,"I asked my workmate yesterday about his opinion on the issue of the upcoming trip to Addis with relation to his being unvaccinated, which will affect his travelling

His response was that he will have the vaccine card ready, apparently(my view) after buying.

What would you do?",shadmangwende,Shadreck Mangwende,"Harare, Zimbabwe",564,707,1,9417,Fri Oct 01 03:49:45 +0000 2021,1443785180204961794,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
8,"RT @mtgreenee: Ok so everyone is making deals tonight.

Heres my offer to the Speaker.

Ill vote YES if you..

1. Decertify election

2.",AnnSnell14,Ann Snell,"Phoenix, AZ",849,72,0,131754,Fri Oct 01 03:49:45 +0000 2021,1443785180708180012,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"Ok so everyone is making deals tonight.

Heres my offer to the Speaker.

Ill vote YES if you..

1. Decertify election

2. Trump back in the WH

3. Fire Fauci

4. Expel Maxine

5. Investigate Ilhan

6. Build the Wall - close the border

7. End mask/vaccine mandates.

Deal?",True,mtgreenee,Marjorie Taylor Greene ,"Georgia, USA",446389.0,1524.0,2323.0,22161.0,Fri Oct 01 02:11:28 +0000 2021,1.4437604453834957e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,196.0,1782.0,1170.0,4993.0
9,"RT @suzseddon: Girl, 4, accidentally given Covid vaccine instead of the flu shot https://t.co/lMfEtLLO45 via @MailOnline",marieca97999227,marie carroll,,904,1233,2,102053,Fri Oct 01 03:49:45 +0000 2021,1443785180796407809,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"Girl, 4, accidentally given Covid vaccine instead of the flu shot https://t.co/lMfEtLLO45 via @MailOnline",True,suzseddon,Suzanne Seddon,london,14380.0,8595.0,55.0,102101.0,Thu Sep 30 18:55:18 +0000 2021,1.4436506788412948e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,11.0,49.0,66.0,86.0
